poi_id,name,tpye,city,source_image_url
99,南头古城-信国公文氏祠,景点/周边游,深圳,http://p1.meituan.net/hotel/88a0520a7ba4602c3e1b2f2012b8a0e2748537.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
100,深圳湾公园C区-运动公园,景点/周边游,深圳,http://p1.meituan.net/poipicadd/ad39b850a7ae1946f48e99e9d3d047b51097165.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
101,蛇口海洋科普馆,景点/周边游,深圳,http://p1.meituan.net/hoteltdc/4271298ee3b5425d50480ab068c805b9367204.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
102,南头古城博物馆,景点/周边游,深圳,http://p1.meituan.net/travel/379e9b96bbd464295766a4ff5569e79316958.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
103,后海民心社区公园,景点/周边游,深圳,http://p0.meituan.net/poipicadd/6d04de59b3fc0402cbdb927962ff7e46400732.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
104,招商蛇口邮轮母港,景点/周边游,深圳,https://qcloud.dpfile.com/pc/M_DTJ5PQ6q4iFQ0vN_IHqCCOm3FkEO0lhZv3dfgYE7sW2o0Pn5aTguX_PQEudt5rd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
105,陈郁同志故居,景点/周边游,深圳,http://p1.meituan.net/hotel/0f075e1580c62b4e36851135fb08b3c0302875.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
106,南山渔农民俗文化园,景点/周边游,深圳,http://p0.meituan.net/shaitu/181c7199fdb531b6a61d205ce37d857a148620.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
107,深圳湾公园-白鹭坡,景点/周边游,深圳,http://p1.meituan.net/searchscenerec/268fcf0cf9da6ee9de81082cd414d859167595.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0
108,海堤公园,景点/周边游,深圳,https://qcloud.dpfile.com/pc/gxcrpToxj0_4zWUXISP0P_oQX9nNnXESL3X1LxVlESVo0GEYBZLHFvv4FAg44xBQd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
109,五指山天涯海角,景点/周边游,深圳,http://p1.meituan.net/searchscenerec/feae322dfa076b5b6e98d9e332bd458b251224.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0
110,非洲区-非洲民居,景点/周边游,深圳,http://p0.meituan.net/travel/c343fbf3204611358cf9101b4949830c53144.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
